p1;p2;s2;s3;s4;s7;s8;s9;s11;s12;s13;s14;s17;s20;s21;time_before_failure
-0.0007;-0.0004;641.82;1589.70;1400.60;554.36;2388.06;9046.19;47.47;521.66;2388.02;8138.62;392;39.06;23.4190;191
0.0019;-0.0003;642.15;1591.82;1403.14;553.75;2388.04;9044.07;47.49;522.28;2388.07;8131.49;392;39.00;23.4236;190
-0.0043;0.0003;642.35;1587.99;1404.20;554.26;2388.08;9052.94;47.27;522.42;2388.03;8133.23;390;38.95;23.3442;189
0.0007;0.0000;642.35;1582.79;1401.87;554.45;2388.11;9049.48;47.13;522.86;2388.08;8133.83;392;38.88;23.3739;188
-0.0019;-0.0002;642.37;1582.85;1406.22;554.00;2388.06;9055.15;47.28;522.19;2388.04;8133.80;393;38.90;23.4044;187
-0.0043;-0.0001;642.10;1584.47;1398.37;554.67;2388.02;9049.68;47.16;521.68;2388.03;8132.85;391;38.98;23.3669;186
0.0010;0.0001;642.48;1592.32;1397.77;554.34;2388.02;9059.13;47.36;522.32;2388.03;8132.32;392;39.10;23.3774;185
-0.0034;0.0003;642.56;1582.96;1400.97;553.85;2388.00;9040.80;47.24;522.47;2388.03;8131.07;391;38.97;23.3106;184
0.0008;0.0001;642.12;1590.98;1394.80;553.69;2388.05;9046.46;47.29;521.79;2388.05;8125.69;392;39.05;23.4066;183
-0.0033;0.0001;641.71;1591.24;1400.46;553.59;2388.05;9051.70;47.03;521.79;2388.06;8129.38;393;38.95;23.4694;182
0.0018;-0.0003;642.28;1581.75;1400.64;554.54;2388.05;9049.61;47.15;521.40;2388.01;8140.58;392;38.94;23.4787;181
0.0016;0.0002;642.06;1583.41;1400.15;554.52;2388.09;9049.37;47.18;521.80;2388.02;8134.25;391;39.06;23.3660;180
-0.0019;0.0004;643.07;1582.19;1400.83;553.44;2388.12;9046.82;47.38;521.85;2388.08;8128.10;393;38.93;23.2757;179
0.0009;-0.0000;642.35;1592.95;1399.16;554.48;2388.09;9047.37;47.44;521.67;2388.00;8134.43;393;39.18;23.3826;178
-0.0018;-0.0003;642.43;1583.82;1402.13;553.64;2388.11;9052.22;47.30;522.50;2388.08;8127.56;391;38.99;23.3500;177
0.0006;0.0005;642.13;1587.98;1404.50;553.94;2388.05;9049.34;47.24;521.49;2388.07;8136.11;392;38.97;23.4550;176
0.0002;0.0002;642.58;1584.96;1399.95;553.80;2388.06;9054.92;47.12;521.89;2388.04;8137.27;392;38.81;23.3319;175
-0.0031;-0.0001;642.62;1591.04;1396.12;554.20;2388.05;9049.55;47.21;521.76;2388.07;8132.73;392;38.89;23.3987;174
0.0032;-0.0003;641.79;1587.56;1400.35;554.18;2388.04;9053.99;47.40;521.89;2388.03;8129.13;391;38.80;23.3464;173
-0.0037;0.0001;643.04;1581.11;1405.23;554.81;2388.05;9045.90;47.22;522.07;2388.02;8129.71;392;39.03;23.4220;172
-0.0012;0.0001;642.37;1586.07;1398.13;554.08;2388.11;9048.15;47.15;522.42;2388.08;8134.02;392;39.09;23.3101;171
0.0002;0.0000;642.77;1592.93;1400.57;553.63;2388.04;9061.21;47.24;522.00;2388.03;8130.41;392;38.92;23.3792;170
0.0034;-0.0003;642.14;1588.19;1394.75;553.98;2388.05;9046.28;47.25;521.52;2388.05;8127.90;392;38.94;23.4562;169
-0.0010;0.0003;642.38;1590.83;1398.81;553.49;2388.12;9043.76;47.44;522.13;2388.03;8133.88;392;39.00;23.3696;168
0.0023;-0.0004;642.77;1594.10;1399.39;554.00;2388.02;9054.16;47.36;522.56;2388.02;8136.61;393;38.95;23.4288;167
0.0000;0.0002;642.16;1589.08;1396.07;554.11;2388.07;9047.11;47.26;522.28;2388.06;8131.15;394;38.86;23.4149;166
-0.0012;-0.0004;642.44;1590.47;1401.84;554.07;2388.02;9047.96;47.37;522.00;2388.13;8134.60;393;38.99;23.4472;165
-0.0024;0.0005;642.35;1582.84;1399.13;554.68;2388.12;9049.84;47.41;522.57;2388.08;8127.30;390;39.01;23.2841;164
0.0012;-0.0001;641.91;1584.83;1400.99;554.25;2388.05;9050.47;47.24;522.41;2388.06;8133.06;393;38.93;23.3597;163
-0.0022;0.0000;642.20;1593.52;1396.08;554.37;2388.07;9045.62;47.40;522.19;2388.00;8137.86;390;39.05;23.4110;162
0.0014;0.0005;642.02;1584.18;1396.90;554.13;2388.08;9058.78;47.41;521.95;2388.06;8125.28;392;38.94;23.3353;161
0.0005;-0.0003;642.33;1591.38;1400.36;554.96;2388.04;9050.97;47.25;521.92;2388.07;8129.70;392;39.02;23.4999;160
-0.0042;-0.0004;642.71;1588.40;1402.43;554.61;2388.04;9047.13;47.28;521.91;2388.08;8134.42;392;38.83;23.3506;159
0.0015;-0.0001;642.54;1581.47;1400.48;554.30;2388.03;9046.46;47.47;521.70;2388.09;8126.61;392;38.81;23.3092;158
0.0003;0.0002;642.44;1590.00;1403.00;554.30;2388.04;9045.76;47.31;521.75;2388.01;8140.17;391;39.13;23.4164;157
-0.0004;-0.0002;642.54;1581.72;1405.54;554.53;2388.01;9044.56;47.25;522.32;2388.04;8132.48;392;38.86;23.4308;156
-0.0004;-0.0000;641.99;1579.11;1398.90;554.63;2388.07;9055.44;47.29;522.29;2388.04;8131.95;392;38.99;23.4352;155
-0.0018;-0.0002;641.93;1589.60;1399.50;554.70;2388.08;9055.27;47.27;522.42;2388.08;8136.61;392;39.06;23.4768;154
-0.0030;-0.0001;642.01;1583.21;1400.69;553.97;2388.02;9051.76;47.12;522.23;2388.05;8131.81;392;38.70;23.3699;153
-0.0000;-0.0004;642.24;1582.08;1401.77;554.57;2388.06;9052.98;47.33;521.84;2388.01;8131.03;392;38.84;23.3769;152
0.0033;0.0004;642.40;1591.31;1403.21;553.72;2388.06;9048.99;47.09;522.07;2388.03;8138.08;392;39.13;23.4444;151
0.0005;-0.0004;642.12;1584.66;1401.38;553.94;2388.08;9057.06;47.49;522.23;2388.05;8130.88;392;39.00;23.3750;150
-0.0027;0.0005;642.24;1591.52;1406.05;553.68;2388.03;9057.88;47.32;522.74;2388.09;8127.22;392;38.99;23.3148;149
-0.0001;0.0002;641.93;1586.94;1401.20;554.15;2388.04;9046.87;47.45;522.30;2388.00;8131.45;392;39.06;23.4753;148
-0.0013;-0.0000;642.53;1582.42;1399.16;553.83;2388.08;9060.32;47.45;521.73;2388.05;8128.31;393;38.79;23.3943;147
0.0003;0.0001;642.43;1588.29;1401.27;553.76;2388.06;9060.38;47.20;522.02;2388.08;8128.71;393;38.93;23.3745;146
0.0000;0.0005;642.21;1580.32;1402.89;554.38;2388.06;9052.04;47.22;521.84;2388.05;8126.21;392;38.99;23.4873;145
0.0019;0.0001;641.89;1588.51;1399.16;554.02;2388.08;9045.26;47.40;521.91;2388.06;8129.99;392;38.94;23.3650;144
-0.0014;0.0005;642.23;1584.35;1397.76;554.23;2388.07;9050.64;47.22;521.37;2388.04;8135.48;392;39.06;23.4498;143
-0.0032;-0.0001;642.77;1588.49;1403.62;553.92;2388.06;9048.60;47.47;522.33;2388.09;8127.30;392;38.85;23.4106;142
-0.0010;0.0003;642.81;1585.54;1400.42;553.73;2388.02;9047.09;47.12;521.91;2388.05;8134.36;393;38.94;23.3651;141
0.0018;-0.0001;642.76;1583.77;1395.57;553.04;2388.04;9056.01;47.07;522.10;2388.07;8132.82;391;39.00;23.3388;140
0.0021;-0.0001;642.61;1579.82;1402.26;554.16;2388.05;9051.15;47.29;521.96;2388.06;8134.38;392;38.90;23.3775;139
-0.0002;0.0005;642.42;1592.59;1401.20;553.95;2388.04;9056.29;47.38;522.44;2388.06;8129.95;392;38.96;23.2348;138
0.0009;-0.0000;642.41;1584.95;1401.58;554.45;2388.04;9048.94;47.40;522.11;2388.02;8134.10;392;39.06;23.3567;137
0.0007;-0.0002;642.49;1586.33;1400.76;553.98;2388.01;9042.42;47.26;522.48;2388.04;8135.40;391;38.68;23.3408;136
-0.0033;0.0000;642.13;1583.67;1402.79;553.42;2388.05;9050.80;47.29;521.62;2388.08;8135.48;392;38.84;23.3567;135
-0.0014;0.0001;641.90;1590.46;1397.99;554.14;2388.09;9050.33;47.26;522.21;2388.04;8132.08;390;38.93;23.2893;134
-0.0006;0.0002;642.33;1596.72;1403.51;554.62;2388.07;9050.06;47.26;521.32;2388.02;8128.81;392;38.92;23.4444;133
-0.0010;-0.0002;642.34;1582.75;1403.07;554.00;2388.06;9051.69;47.41;522.49;2388.03;8132.89;393;38.89;23.3870;132
0.0004;0.0005;642.10;1583.55;1405.52;554.09;2388.11;9050.58;47.31;522.34;2388.09;8131.66;391;38.89;23.3638;131
0.0004;0.0001;642.17;1581.59;1399.54;554.45;2388.10;9053.62;47.28;522.19;2388.10;8132.28;391;39.03;23.2707;130
0.0015;0.0002;642.60;1592.14;1395.38;553.48;2388.06;9049.96;47.51;521.56;2388.01;8130.73;394;38.77;23.3436;129
0.0017;0.0002;642.23;1584.51;1400.11;553.88;2388.10;9043.67;47.45;521.82;2388.04;8128.15;391;38.93;23.3840;128
-0.0000;0.0005;642.28;1584.72;1403.24;553.97;2388.03;9044.01;47.56;521.54;2388.13;8132.94;392;38.90;23.3752;127
-0.0007;-0.0004;642.50;1588.50;1399.52;554.00;2388.06;9059.45;47.14;521.76;2388.05;8128.32;391;38.95;23.3152;126
0.0016;-0.0004;642.33;1590.22;1403.02;554.31;2388.10;9050.24;47.39;522.64;2388.08;8134.07;393;38.97;23.2910;125
-0.0018;0.0000;642.51;1582.06;1404.42;554.04;2388.10;9051.78;47.36;521.72;2388.07;8132.39;392;38.95;23.3174;124
-0.0022;0.0005;642.44;1590.70;1401.24;554.65;2388.07;9050.59;47.41;522.22;2388.10;8129.13;392;39.00;23.3742;123
-0.0005;0.0002;642.22;1584.02;1402.78;554.01;2388.11;9053.43;47.41;521.93;2388.12;8130.36;392;38.86;23.4513;122
0.0016;-0.0003;642.21;1580.41;1403.09;554.06;2388.03;9046.09;47.30;521.72;2388.09;8134.28;391;38.80;23.3881;121
-0.0017;0.0001;642.41;1579.25;1406.81;553.76;2388.07;9054.42;47.27;521.97;2388.09;8133.95;391;38.84;23.3085;120
-0.0012;-0.0002;642.29;1592.04;1397.93;553.88;2388.03;9049.64;47.29;522.04;2388.10;8129.85;391;39.03;23.3975;119
0.0027;0.0001;642.96;1584.65;1401.48;554.03;2388.07;9045.85;47.58;522.25;2387.97;8132.67;392;38.80;23.3820;118
0.0009;-0.0004;641.96;1582.32;1394.82;553.60;2388.07;9042.32;47.22;521.77;2388.11;8130.13;392;38.89;23.3521;117
